2018-08-22,0
2018-08-23,1
2018-08-24,2
2018-08-25,3
2018-08-26,4
2018-08-27,5
2018-08-28,6
2018-08-29,7
2018-08-30,8
2018-08-31,9
2018-09-01,10
2018-09-02,11
2018-09-03,12
2018-09-04,13
2018-09-05,14
2018-09-06,15
2018-09-07,16
2018-09-08,17
2018-09-09,18
2018-09-10,19
2018-09-11,20
2018-09-12,21
2018-09-13,22
2018-09-14,23
2018-09-15,24
2018-09-16,25
2018-09-17,26
2018-09-18,27
2018-09-19,28
2018-09-20,29
2018-09-21,30
2018-09-22,31
2018-09-23,32
2018-09-24,33
2018-09-25,34
2018-09-26,35
2018-09-27,36
2018-09-28,37
